;;;;;;;;;;;;;s
;;;;                                   PURCHASE REQUISITION;;;;;;;;;
;;;;;;;;;;;;;
Department:;;Bộ phận kho Công ty;;;;Date:;;30/03/2026;;;;;
Job Title:;;Phục vụ sản xuất chung;;;;Ref. No.:;;BPK - 30.3.2026;Commercial / 21.07.2020-1;Commercial / 21.07.2020-1;Commercial / 21.07.2020-1;;
Client:;;IBS HI;;;;Job No.:;;;;;;;
;;;;;;;;;;;;;
Item;Description;;Initial Approved Quantity;Previous Ordered Quantity;Balance From Previous Ordered;"Size
/Length"; Q'ty ;Unit;Unit Weight (Kg);Tồn kho;Remarks;;
1;VTT.CSON.050 - Chổi sơn 5cm;;;;;;100;cái;;;Ngày cần 10/4/2026;;
2;VTT.CSON.025 - Chổi sơn 2.5cm;;;;;;100;cái;;;Ngày cần 10/4/2026;;
3;Keo con chó ( Keo đa năng);;;;;;1;thùng;;;Ngày cần 10/4/2026;;
4;VTT.CLSO.60 - Con lăn sơn 6 cm ;;;;;;100;cái;;;Ngày cần 10/4/2026;;
5; VTT.GRCU.240  - Giấy ráp A240;;;;;;10;cuộn;;;Ngày cần 10/4/2026;;
;;Requested by:;;Reviewed by:;;;Project Manager;;;Approved by;;;
Name:;;Bùi Thị Thương;;Nguyễn Thị Hương Thúy;;;;;;;;;
Position:;;;;;;;;;;;;;
Signature:;;;;;;;;;;;;;
Date:;;;;;;;;;;;;;
